split,duplicate_of_split,duplicate_key,review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason
validation,train,[속성] 가격 [문장] 가격도 저렴하고,1028071,SNS,남성화장품,OO 맨 센** 올인원 로션 125ml ,올인원 로션 찾고 계시면 저는 이 제품으로 추천 드리고 싶어요! 타사 제품들은 가격이 너무 비싸고 효과도 없는 게 많아서 잘 모르시면 이 제품 추천 드릴게요!! 가격도 저렴하고 사은품도 있어서 가성비가 좋은 제품이에요!! 요새 이 제품 유명해져서 인기도 많아졌다는 사실~ 용량은 그리 많지 않아서 아쉬운 것 같네요! 일단 향이 은은해서 좋은 것 같고 보습력이 너무 좋아서 겨울에 사용하면 참 좋을 것 같습니다~^^ 저는 겨울에도 한 방에 해결되는 이 제품만 하나 바르고 나가는데 좋아요! 그만큼 보습력이 참 좋습니다~ 남성 올인원 로션으로 이 제품 추천 드릴게요!! 저는 앞으로도 쭉 사용할 예정입니당^^,가격,가격도 저렴하고,1,[속성] 가격 [문장] 가격도 저렴하고,0,가격,unchanged
validation,train,[속성] 보습력/수분감 [문장] 보습력이 너무 좋아서,1028071,SNS,남성화장품,OO 맨 센** 올인원 로션 125ml ,올인원 로션 찾고 계시면 저는 이 제품으로 추천 드리고 싶어요! 타사 제품들은 가격이 너무 비싸고 효과도 없는 게 많아서 잘 모르시면 이 제품 추천 드릴게요!! 가격도 저렴하고 사은품도 있어서 가성비가 좋은 제품이에요!! 요새 이 제품 유명해져서 인기도 많아졌다는 사실~ 용량은 그리 많지 않아서 아쉬운 것 같네요! 일단 향이 은은해서 좋은 것 같고 보습력이 너무 좋아서 겨울에 사용하면 참 좋을 것 같습니다~^^ 저는 겨울에도 한 방에 해결되는 이 제품만 하나 바르고 나가는데 좋아요! 그만큼 보습력이 참 좋습니다~ 남성 올인원 로션으로 이 제품 추천 드릴게요!! 저는 앞으로도 쭉 사용할 예정입니당^^,보습력/수분감,보습력이 너무 좋아서,1,[속성] 보습력/수분감 [문장] 보습력이 너무 좋아서,0,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 흡수력 [문장] 번들거리지 않고,1026398,SNS,남성화장품,OO 옴므 아** 올인원 200ml 1개,선물받아서 한번 써봤는데 복합성 피부인 저에게 잘 맞아서 열심히 썼습니다. 번들거리는거 딱 싫어하는데 이 제품은 번들거리지 않고 촉촉하고 산뜻한 느낌이라 만족스러웠습니다. 저는 살짝 무겁거나 보습이 강한 제품들은 바르기 싫어지는데 이거는 아주 가볍게 바를 수 있어서 좋아요.게다가 쿨링감 까지 있어서 바르면 시원해집니다. 그래서 여름에는 이거만 바르고 다녔네요. 너무 잘 쓴 탓에 하나 구매하려고 인터넷 들어갔는데 가격보고 깜짝 놀랐습니다... 선물받아서 쓴 거였는데 이렇게 비싼 줄 몰랐습니다. 좋긴 좋은데 이 가격으로 그냥 다른 제품 올인원으로 사려고요!! 그게 더 많이 편할 거 같습니다.,흡수력,번들거리지 않고,1,[속성] 흡수력 [문장] 번들거리지 않고,0,흡수력,unchanged
validation,train,[속성] 보습력/수분감 [문장] 촉촉하고,1026398,SNS,남성화장품,OO 옴므 아** 올인원 200ml 1개,선물받아서 한번 써봤는데 복합성 피부인 저에게 잘 맞아서 열심히 썼습니다. 번들거리는거 딱 싫어하는데 이 제품은 번들거리지 않고 촉촉하고 산뜻한 느낌이라 만족스러웠습니다. 저는 살짝 무겁거나 보습이 강한 제품들은 바르기 싫어지는데 이거는 아주 가볍게 바를 수 있어서 좋아요.게다가 쿨링감 까지 있어서 바르면 시원해집니다. 그래서 여름에는 이거만 바르고 다녔네요. 너무 잘 쓴 탓에 하나 구매하려고 인터넷 들어갔는데 가격보고 깜짝 놀랐습니다... 선물받아서 쓴 거였는데 이렇게 비싼 줄 몰랐습니다. 좋긴 좋은데 이 가격으로 그냥 다른 제품 올인원으로 사려고요!! 그게 더 많이 편할 거 같습니다.,보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,0,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 사용감 [문장] 사용감이 무난합니다.,709486,쇼핑몰,남성화장품,OO 스** 쉐이브 젤 195g 1개,항상 사용하는 제품이라서 떨어질 때마다 재구매하고 있습니다. 사용감이 무난합니다. 다른 제품은 안 써봐서 성능이 좋은 건지 어떤지는 잘 모르겠지만 그냥 문제 없이 쓰고 있어서 이번처럼 1+1 행사 할 때마다 삽니다.,사용감,사용감이 무난합니다.,0,[속성] 사용감 [문장] 사용감이 무난합니다.,2,사용감,unchanged
validation,train,[속성] 자극성 [문장] 자극적이지 않아 좋아요.,714590,쇼핑몰,남성화장품,OO 꽃** 포 맨 스킨 250ml 1개,항상 사용하는 제품인데 냄새도 은은하고 자극적이지 않아 좋아요. 가성비가 좋은 제품이에요.,자극성,자극적이지 않아 좋아요.,1,[속성] 자극성 [문장] 자극적이지 않아 좋아요.,0,자극성,unchanged
validation,train,[속성] 가격 [문장] 가성비가 좋은 제품이에요.,714590,쇼핑몰,남성화장품,OO 꽃** 포 맨 스킨 250ml 1개,항상 사용하는 제품인데 냄새도 은은하고 자극적이지 않아 좋아요. 가성비가 좋은 제품이에요.,가격,가성비가 좋은 제품이에요.,1,[속성] 가격 [문장] 가성비가 좋은 제품이에요.,0,가격,unchanged
validation,train,[속성] 향 [문장] 은은하게,715730,쇼핑몰,남성화장품,OO 아** EDT 125ml,매장에서 시향해 보고 샀습니다. 은은하게 기분 좋은 향이라 마음에 듭니다.,향,은은하게,1,[속성] 향 [문장] 은은하게,0,향,unchanged
validation,train,[속성] 제형 [문장] 제형이 부드럽습니다.,712075,쇼핑몰,남성화장품,OO 스** 쉐이브 폼 245g 1개,같은 라인의 면도기와 함께 사용하는데 확실히 면도가 잘 되어서 상처가 안생기고 제형이 부드럽습니다.,제형,제형이 부드럽습니다.,1,[속성] 제형 [문장] 제형이 부드럽습니다.,0,제형,unchanged
validation,train,[속성] 향 [문장] 향도 은은해서 좋아요.,1027985,SNS,남성화장품,OO 옴므 에센스 인 스킨 125ml,지인분이 요즘 같은 계절에 사용하면 좋다고 추천해서 우선 스킨만 먼저 구입했어요. 써 보고 괜찮으면 로션도 구매하려 합니다. 퇴근해서 오니까 집 앞에 택배가 와 있었어요. 샤워하고 바로 사용해 봤는데 적당한 유분기가 있어 좋고 얼굴도 번들거리지 않아 괜찮아 보이네요. 피부 당기지도 않고 건조한 피부에 괜찮은 제품인 듯합니다. 향도 은은해서 좋아요. 겨울에 사용하기 좋은지는 좀 더 발라봐야 알 것 같아요. 조금 더 사용해 보고 로션을 구입할지 결정하려 합니다~,향,향도 은은해서 좋아요.,1,[속성] 향 [문장] 향도 은은해서 좋아요.,0,향,unchanged
validation,train,[속성] 향 [문장] 향도 별로예요.,712954,쇼핑몰,남성화장품,OO 질** 쉐이빙폼 175g 1개,가격은 만족하는데 잘 발라지지 않고 사용 후 피부가 따끔거리네요. 향도 별로예요.,향,향도 별로예요.,-1,[속성] 향 [문장] 향도 별로예요.,1,향,unchanged
validation,train,[속성] 보습력/수분감 [문장] 보습력도 괜찮고,1026361,SNS,남성화장품,OO 올인원 스킨 에센스 500ml,"화장품 바르기 귀찮다고 자꾸 건너 뛰시는 아빠께 OO 올인원 스킨 에센스를 선물로 드려 봤어요. 지금까지 사용해 본 화장품 중 향이 제일 마음에 드신대요. 저도 맡아 보니까 그렇게 진하지 않고 은은한 향이어서 괜찮은 것 같아요. 한 번에 다 해결할 수 있는 간편함과 2중 기능성, 거기에 보습력도 괜찮고 면도 후에 발라도 자극이 없다고 하셔서 뿌듯하더라고요. 한 통에 500ml나 되는 대용량인 데다가 증정품으로 향수 샘플까지 같이 와서 마음까지 푸근한 선물이 되었어요. 유명한 제품은 아니지만 실속 있는 올인원으로 추천할 만한 제품이네요.",보습력/수분감,보습력도 괜찮고,1,[속성] 보습력/수분감 [문장] 보습력도 괜찮고,0,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 가격 [문장] 행사할 때 저렴하게,712264,쇼핑몰,남성화장품,OO 질** 스킨 쉐이브 크림 177ml 1개,"캔형으로 된 제품은 욕실에 놓아두면 밑부분이 녹슬어서 늘 문제였는데, 용기가 튜브형이라서 밑부분이 녹슬지 않아서 좋습니다. 행사할 때 저렴하게 구매했는데 여분으로 좀 더 사야겠습니다.",가격,행사할 때 저렴하게,1,[속성] 가격 [문장] 행사할 때 저렴하게,0,가격,unchanged
validation,train,[속성] 향 [문장] 향이 너무 강해서 안 좋고,1023604,SNS,남성화장품,OO 맨 우** EDP 60ml,도대체 이 향수가 뭐가 좋다고 그렇게 사람들은 후기에 좋은 글만 많이 적는 것인지 이해가 안 가는 제품입니다..! 아 너무 급발진 하지 말라고요? 근데 너무 화가 나는 것을 어떡하죠? 정말 제가 써본 향수 중에 최악의 제품 리뷰 알려드릴게요! 전에 쓰던 향수가 질리던 타이밍에 새로운 제품을 찾다가 이 브랜드가 남성 향수로 유명한 것 같아서 주문을 하게 되었습니다. 일단 처음 써보는 브랜드 제품이라서 향은 당연히 어떤지 몰라서 후기만 믿고 주문을 했습니다. 후기에는 아주 뭐 향이 좋다 뭐가 어떻다 장점만 가득 적혀 있어서 낚인 것 같습니다. 직접 받아서 뿌리니 향이 너무 강해서 안 좋고 잔향 또한 이상한 나무 타는 향이 나서 별로였습니다. 그래서 저는 한 번 뿌리고 지금 계속 묵혀두고 있습니다. 향수로 김장하실 분들은 사세요... 저는 이거 묵혀두다가 나중에 버릴 것 같습니다... 추천 하고 싶지 않습니다! 구매 주의 하세요!,향,향이 너무 강해서 안 좋고,-1,[속성] 향 [문장] 향이 너무 강해서 안 좋고,1,향,unchanged
validation,train,[속성] 가격 [문장] 저렴하게 잘 구매했습니다.,712249,쇼핑몰,남성화장품,OO 질** 스킨 쉐이브 크림 177ml 1개,남편이 항상 써서 원플러스원 행사할 때 저렴하게 잘 구매했습니다. 촉촉하고 사용감이 좋아서 늘 사용하는 제품입니다.,가격,저렴하게 잘 구매했습니다.,1,[속성] 가격 [문장] 저렴하게 잘 구매했습니다.,0,가격,unchanged
validation,train,[속성] 향 [문장] 향은 은은해서 좋은데,710515,쇼핑몰,남성화장품,OO 맨 프** 애프터 쉐이브 로션 100ml 1개,처음 사용해 했는데 향은 은은해서 좋은데 지속력이 약합니다. 피부가 건조해지네요.,향,향은 은은해서 좋은데,1,[속성] 향 [문장] 향은 은은해서 좋은데,0,향,unchanged
validation,train,[속성] 지속력/유지력 [문장] 지속력이 약합니다.,710515,쇼핑몰,남성화장품,OO 맨 프** 애프터 쉐이브 로션 100ml 1개,처음 사용해 했는데 향은 은은해서 좋은데 지속력이 약합니다. 피부가 건조해지네요.,지속력/유지력,지속력이 약합니다.,-1,[속성] 지속력/유지력 [문장] 지속력이 약합니다.,1,지속력/유지력,unchanged
validation,train,[속성] 보습력/수분감 [문장] 피부가 건조해지네요.,710515,쇼핑몰,남성화장품,OO 맨 프** 애프터 쉐이브 로션 100ml 1개,처음 사용해 했는데 향은 은은해서 좋은데 지속력이 약합니다. 피부가 건조해지네요.,보습력/수분감,피부가 건조해지네요.,-1,[속성] 보습력/수분감 [문장] 피부가 건조해지네요.,1,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 기능/효과 [문장] 면도도 잘 되고,1025776,SNS,남성화장품,OO 맨 딥 쉐이빙폼 200ml 1개,OO OOO 쉐이빙폼은 2주 동안 사용해 본 제품입니다. 이 제품 구매 하실 때 참고하시면 좋을 것 같아 후기 올려 봅니다. 쉐이빙젤 보다 쉐이빙폼이 사용하기 편해서 주로 쉐이빙폼 구매하는 편입니다. OOO와 OO 두 제품을 많이 쓰는데 이번에 사용해 본 제품은 OOO 쉐이빙폼이에요. 제형이 거품력도 좋고 면도도 잘 되고 향도 만족합니다. 피부 노폐물이 제거되어 깔끔한 피부로 보여서 아주 좋습니다. 다음에도 이 제품으로 재구매할 의사 완전 있고 구매하시길 강추합니다.,기능/효과,면도도 잘 되고,1,[속성] 기능/효과 [문장] 면도도 잘 되고,0,기능/효과,unchanged
validation,train,[속성] 향 [문장] 향도 만족합니다.,1025776,SNS,남성화장품,OO 맨 딥 쉐이빙폼 200ml 1개,OO OOO 쉐이빙폼은 2주 동안 사용해 본 제품입니다. 이 제품 구매 하실 때 참고하시면 좋을 것 같아 후기 올려 봅니다. 쉐이빙젤 보다 쉐이빙폼이 사용하기 편해서 주로 쉐이빙폼 구매하는 편입니다. OOO와 OO 두 제품을 많이 쓰는데 이번에 사용해 본 제품은 OOO 쉐이빙폼이에요. 제형이 거품력도 좋고 면도도 잘 되고 향도 만족합니다. 피부 노폐물이 제거되어 깔끔한 피부로 보여서 아주 좋습니다. 다음에도 이 제품으로 재구매할 의사 완전 있고 구매하시길 강추합니다.,향,향도 만족합니다.,1,[속성] 향 [문장] 향도 만족합니다.,0,향,unchanged
validation,train,[속성] 보습력/수분감 [문장] 건조하지도 않고,1025978,SNS,남성화장품,OO 옴므 블** 클렌저 125g,여름이 되고 땀이 많이 나니까.... 퇴근 하고 집에가면 얼굴에 개기름이 번들거렸습니다... 솔직히 오후만 되어도 얼굴이 찝찝하더라고요... 그렇다고 회사에서 세수를 할 수도 없고... 그래서 집에 와서라도 좀 개운하게 지내고 싶어서 이 제품을 구매했습니다!! 지성 피부라 여름만 되면 피지부터 개기름까지 엄청나게 올라와서 고생을 많이 했습니다!! 검색을 해 보니까 피부 피지 관리는 세안에서부터 시작한다는 영상을 보게 되었고 피부 관리를 해보고자 제품을 구매 했어요~ 일단 이 제품으로 한 달 정도 꾸준하게 세안을 했는데 세정력이 너무 좋아서 확실히 개기름을 싹 없애주는 것 같아요!! 또 건조하지도 않고 세안하고 나면 피부가 시원해서 좋은 것 같습니다!! 저는 앞으로도 이 제품으로 쭉 사용할 생각이네요!! 그동안 부인 클렌징 폼으로 닦았는데.. 저도 저 만의 클렌저가 있으니 좋은 것 같습니다^&^,보습력/수분감,건조하지도 않고,1,[속성] 보습력/수분감 [문장] 건조하지도 않고,0,보습력/수분감/쿨링감,merged_duplicate_label
validation,train,[속성] 흡수력 [문장] 끈적이지도 않고,1027328,SNS,남성화장품,OO 맨 룰** 스킨 클리어 올인원,안녕하세요~ 영한 남자들을 위한ㅇㅇㅇ 올인원 제품을 소개할게요~ 사춘기 아들을 위해 샀어요~ 트러블도 좀 있는 편이고 까다로워서 뭘 살까 고민 많이 했어요~ 우연히 매장에 들어갔다가 이 제품을 보는 순간 많이 어른스러운 디자인도 아니고 심플하니 딱 좋을 것 같았어요. 특히 아들만 한 나이에 자극적이지 않고 순한 제품을 찾고 있었는데 딱 좋아요. 향도 없는 편이고 끈적이지도 않고 사용감이 가벼워서 아들도 좋아합니다. 다행이에요 ㅎ 아들을 위해서 하나씩 장만해 보세요~,흡수력,끈적이지도 않고,1,[속성] 흡수력 [문장] 끈적이지도 않고,0,흡수력,unchanged
validation,train,[속성] 사용감 [문장] 사용감이 가벼워서,1027328,SNS,남성화장품,OO 맨 룰** 스킨 클리어 올인원,안녕하세요~ 영한 남자들을 위한ㅇㅇㅇ 올인원 제품을 소개할게요~ 사춘기 아들을 위해 샀어요~ 트러블도 좀 있는 편이고 까다로워서 뭘 살까 고민 많이 했어요~ 우연히 매장에 들어갔다가 이 제품을 보는 순간 많이 어른스러운 디자인도 아니고 심플하니 딱 좋을 것 같았어요. 특히 아들만 한 나이에 자극적이지 않고 순한 제품을 찾고 있었는데 딱 좋아요. 향도 없는 편이고 끈적이지도 않고 사용감이 가벼워서 아들도 좋아합니다. 다행이에요 ㅎ 아들을 위해서 하나씩 장만해 보세요~,사용감,사용감이 가벼워서,1,[속성] 사용감 [문장] 사용감이 가벼워서,0,사용감,unchanged
validation,train,[속성] 자극성 [문장] 트러블도 안나고,1025905,SNS,남성화장품,OO 옴므 블** 클렌저 125g,여름이라 그런지 얼굴이 너무 자주 기름져서 클렌징폼을 바꿔보았습니다. 일단 지성피부라 유분기가 폭팔하고 여드름도 자주 나는 피부여서 저한테 맞지 않으면 바로 트러블이 생깁니다. 근데 이 제품은 트러블도 안나고 유분기도 잘 잡아주네요. 그리고 따로 쉐이빙 폼 필요 없이 이것만 발라도 부드럽게 면도가 잘 됩니다. OO 제품이 좋다고는 들었는데 직접 사용해보니 더 효과가 좋네요. 이번 여름에는 OO 제품으로 살아보겠습니다. 이상 제 간단한 후기입니다!,자극성,트러블도 안나고,1,[속성] 자극성 [문장] 트러블도 안나고,0,자극성,unchanged
validation,train,[속성] 기능/효과 [문장] 부드럽게 면도가 잘 됩니다.,1025905,SNS,남성화장품,OO 옴므 블** 클렌저 125g,여름이라 그런지 얼굴이 너무 자주 기름져서 클렌징폼을 바꿔보았습니다. 일단 지성피부라 유분기가 폭팔하고 여드름도 자주 나는 피부여서 저한테 맞지 않으면 바로 트러블이 생깁니다. 근데 이 제품은 트러블도 안나고 유분기도 잘 잡아주네요. 그리고 따로 쉐이빙 폼 필요 없이 이것만 발라도 부드럽게 면도가 잘 됩니다. OO 제품이 좋다고는 들었는데 직접 사용해보니 더 효과가 좋네요. 이번 여름에는 OO 제품으로 살아보겠습니다. 이상 제 간단한 후기입니다!,기능/효과,부드럽게 면도가 잘 됩니다.,1,[속성] 기능/효과 [문장] 부드럽게 면도가 잘 됩니다.,0,기능/효과,unchanged
validation,train,[속성] 향 [문장] 향이 자극적이지 않고,1029676,SNS,남성화장품,[1+1] OO 올인원 훼이스 트리트먼트 50ml,"남편이 며칠 출장을 다녀왔는데 스킨, 로션 싸 들고 가긴 번잡한 것 같아서 올인원을 하나 챙겨 줬답니다. 용기 사이즈가 생각보다 자그마한데, 오래 쓸 용도로 산 건 아니라서 괜찮긴 하지만 이걸 주로 사용하려고 한다면 가성비가 나쁘다고 느낄 것 같긴 합니다. 며칠 사용한 바로는, 향이 자극적이지 않고 제형도 부담없는 제형이어서 괜찮았다고 하네요. 산뜻하고 흡수도 잘 됐다고 하고요. 튜브 타입이고 이거 하나면 다 되다 보니까 역시 출장에 가지고 가기 좋아서 소기의 목적에 잘 맞는 제품이었던 것 같습니다. 집에서 두고 쓰기 좋게 용기가 더 큰 사이즈로도 나온다면 좋을 듯하네요.",향,향이 자극적이지 않고,1,[속성] 향 [문장] 향이 자극적이지 않고,0,향,unchanged
validation,train,[속성] 제형 [문장] 제형은 쫀쫀하고,1025908,SNS,남성화장품,OO 옴므 블** 클렌저 125g,유튜버분이 이 제품으로 하루를 마무리 한다고 해서 저도 따라서 구매해봤어요! 저는 일단 별 4개입니다. 자세하게 화장품 분석해볼게요. 일단 제형은 쫀쫀하고 물이랑 살짝 묻쳐서 비비면 거품이 잘 나옵니다. 그리고 사용하고 나서는 깔끔하게 씻기면서 산뜻하고 개운해요. 향도 나쁘지 않아 얼굴에도 향이 남네요. 저렴한 가격에 잘 구매한 듯합니다. 저는 복합성 피부라 저한테는 잘 맞아요. 일단 더 사용해보고 재구매 할지말지 고민해볼게요 ㅎㅎ 별4개인 이유였습니다. 봐주셔서 감사해요~,제형,제형은 쫀쫀하고,0,[속성] 제형 [문장] 제형은 쫀쫀하고,2,제형,unchanged
validation,train,[속성] 흡수력 [문장] 산뜻하고,1025908,SNS,남성화장품,OO 옴므 블** 클렌저 125g,유튜버분이 이 제품으로 하루를 마무리 한다고 해서 저도 따라서 구매해봤어요! 저는 일단 별 4개입니다. 자세하게 화장품 분석해볼게요. 일단 제형은 쫀쫀하고 물이랑 살짝 묻쳐서 비비면 거품이 잘 나옵니다. 그리고 사용하고 나서는 깔끔하게 씻기면서 산뜻하고 개운해요. 향도 나쁘지 않아 얼굴에도 향이 남네요. 저렴한 가격에 잘 구매한 듯합니다. 저는 복합성 피부라 저한테는 잘 맞아요. 일단 더 사용해보고 재구매 할지말지 고민해볼게요 ㅎㅎ 별4개인 이유였습니다. 봐주셔서 감사해요~,흡수력,산뜻하고,1,[속성] 흡수력 [문장] 산뜻하고,0,흡수력,unchanged
